target_directory,target_group,keep_or_create,replaces_current_paths,primary_producers,expected_contents,notes
data/core/parquet/full,core,keep,"data/parquet","all core batch CLI commands","canonical full dataset parquet tables for core results","Primary provider root for full dataset"
data/core/parquet/gt10,core-derived,create,"data/parquet_gt10","derived dataset build/export flows and visualization consumers","gt10 variant of core parquet tables","Derived dataset should live under core parquet tree, not top-level sibling"
data/core/parquet/no_pwm_err,core-derived,create,"data/parquet_no_pwm_err","derived dataset build/export flows and visualization consumers","no_pwm_err variant of core parquet tables","Derived dataset should live under core parquet tree, not top-level sibling"
data/core/figures/full,core-visualize,create,"data/figures/full","visualize quantile-global; pwm-global; eot-global; extremes-scatter","standard full-dataset global figures grouped by script family","Figure root grouped by script/output family"
data/core/figures/gt10,core-visualize,create,"data/figures/gt10","visualize commands against gt10 dataset","standard gt10 global figures grouped by script family","Mirrors full layout for derived dataset"
data/core/figures/no_pwm_err,core-visualize,create,"data/figures/no_pwm_err","visualize commands against no_pwm_err dataset","standard no_pwm_err global figures grouped by script family","Mirrors full layout for derived dataset"
data/comparison/benchmarks/area_vs_atlas,comparison,create,"data/area_comparison","experiment comparison area-vs-atlas","comparison CSV reports and benchmark figures","Replace standalone area_comparison root"
data/comparison/benchmarks/algorithms,comparison,create,"data/comparison; data/cache/comparison; data/figures/comparison","experiment benchmark algorithms","sample parquet; postprocess parquet; cache; benchmark figures","Root for algorithm and dataset benchmarks"
data/comparison/benchmarks/algorithms/full,comparison,create,"full-dataset comparison outputs currently mixed under data/comparison and data/figures/comparison","experiment benchmark algorithms","full-dataset benchmark sample results cache and figures","Full benchmark branch"
data/comparison/benchmarks/algorithms/gt10,comparison,create,"gt10 comparison outputs currently mixed with top-level gt10 figures","experiment benchmark algorithms","gt10 benchmark sample results cache and figures","gt10 benchmark branch"
data/comparison/benchmarks/algorithms/full/sample,comparison,create,"data/comparison/sample_lakes.parquet; data/comparison/sample_statistics.parquet","benchmark sampling stage","sample_lakes.parquet and sample_statistics.parquet","Benchmark input subroot"
data/comparison/benchmarks/algorithms/full/results,comparison,create,"data/comparison/*.parquet from run_algorithm_comparison","benchmark run stage","comparison_extremes.parquet; comparison_thresholds.parquet; comparison_labels.parquet; comparison_agreement.parquet","Benchmark result tables"
data/comparison/benchmarks/algorithms/full/cache,comparison-cache,create,"data/cache/comparison; data/cache_comparison","benchmark aggregation stage","grid aggregation parquet caches","Hide intermediate cache under benchmark root"
data/comparison/benchmarks/algorithms/full/figures,comparison,create,"data/figures/comparison; packages/lakeanalysis/data/figures/comparison","comparison-global and comparison-zonal renders","comparison global and zonal figures","Eliminate package-local duplicate output"
data/comparison/benchmarks/algorithms/gt10/sample,comparison,create,"future gt10 benchmark sample outputs","benchmark sampling stage","sample parquet for gt10 benchmark","Derived dataset benchmark input subroot"
data/comparison/benchmarks/algorithms/gt10/results,comparison,create,"future gt10 comparison parquet outputs","benchmark run stage","comparison result tables for gt10 benchmark","Derived dataset benchmark result tables"
data/comparison/benchmarks/algorithms/gt10/cache,comparison-cache,create,"future gt10 benchmark caches","benchmark aggregation stage","grid aggregation caches for gt10 benchmark","Derived dataset benchmark cache"
data/comparison/benchmarks/algorithms/gt10/figures,comparison,create,"future gt10 benchmark figures","comparison-global and comparison-zonal renders","comparison figures for gt10 benchmark","Derived dataset benchmark figures"
data/experiments/artificial,experiment,create,"data/similarity; data/impact; pfaf and nearest outputs currently implicit in DB","experiment artificial","pfaf outputs; nearest outputs; similarity.csv; impact.csv; figures","Single artificial experiment root with ordered stages"
data/experiments/artificial/pfaf,experiment,create,"DB-only outputs from pfaf run","experiment artificial","pfaf outputs or exported tables plus logs if materialized","Preparation stage inside artificial root"
data/experiments/artificial/nearest,experiment,create,"DB-only outputs from nearest run","experiment artificial","nearest outputs or exported tables plus logs if materialized","Preparation stage inside artificial root"
data/experiments/artificial/similarity,experiment,create,"data/similarity","experiment artificial","similarity.csv and figures","Analysis stage inside artificial root"
data/experiments/artificial/impact,experiment,create,"data/impact","experiment artificial","impact.csv and figures","Analysis stage inside artificial root"
data/experiments/entropy,experiment,keep,"data/entropy","experiment entropy run/update/plot","entropy parquet outputs and figures","Entropy remains experiment-scoped"
data/experiments/interpolation,experiment,keep,"data/interpolation","experiment interpolation run and optional renders","interpolation_detect.parquet and figures","Interpolation remains experiment-scoped"
data/experiments/hawkes/mining,experiment,create,"data/hawkes/batch/mining","experiment hawkes-mining","transition tables; stats json; mining figures; case plots","Topic experiment bundle"
data/experiments/hawkes/batch_artifacts,experiment,create,"data/hawkes/batch","hawkes experiment pipelines","summary.csv; lrt.csv; manifest; per-lake artifacts","If batch artifacts are kept, they belong to experiment not core"
data/visualize/quality,visualize,create,"data/figures/upset; data/area_comparison; quality-related visualize outputs","visualize quality","quality overview figures and QC tables including upset and area-vs-atlas summaries","Quality visualize root"
data/visualize/qr,visualize,create,"data/hawkes/qc and future result-QC outputs","visualize qr","result-quality csv tables and standardized QC figures across result families","General result-quality review root"
data/diagnostics,diagnostics,create,"data/pwm_hawkes; data/hawkes/1023; data/quality; data/figure_test; ad hoc debug figure roots","temporary diagnostic or inspection commands only","non-business diagnostic artifacts","Optional separate root if diagnostics are kept outside archived scripts"
data/diagnostics/pwm_hawkes,diagnostics,create,"data/pwm_hawkes; data/figures/pwm_hawkes","diagnostic PWM-Hawkes commands only","diagnosis.csv and single-lake/summary figures","Not part of business output"
data/diagnostics/quality,diagnostics,create,"data/quality; data/figures/quality; data/figures/shift_candidates","diagnostic quality scripts only","offline CSV/parquet chunks and debug figures","Not part of business output"
data/diagnostics/hawkes_single_lake,diagnostics,create,"data/hawkes/1023","single-lake Hawkes diagnostic command only","single-lake CSV JSON and plots","Not part of business output"
packages/lakeanalysis/data,anomalous,remove,"packages/lakeanalysis/data/**","none","none","Package-local outputs should be eliminated completely"
