target_cli_or_file,target_type,target_category,keep_or_create,replaces_current_scripts,input_summary,output_summary,notes
lake_adft core quantile run,cli-command,core,keep,"packages/lakeanalysis/scripts/run_quantile.py; cli/eot.py:quantile","core parquet/DB lake_area plus batch filters and quantile config","core results: quantile_labels; quantile_extremes; quantile_abrupt_transitions; quantile_run_status","Single official entry; script wrapper archived"
lake_adft core pwm run,cli-command,core,keep,"packages/lakeanalysis/scripts/run_pwm_extreme.py; cli/pwm.py:run","core parquet/DB lake_area plus PWM config","core results: pwm_extreme_thresholds; pwm_extreme_labels; pwm_extreme_extremes; pwm_extreme_run_status","Single official entry; script wrapper archived"
lake_adft core eot run,cli-command,core,keep,"packages/lakeanalysis/scripts/run_eot.py; cli/eot.py:run","core parquet/DB lake_area plus tails and threshold list","core results: eot_results; eot_extremes; eot_run_status","Single official entry; script wrapper archived"
lake_adft core pwm hawkes,cli-command,core,keep,"packages/lakeanalysis/scripts/run_pwm_hawkes.py; cli/pwm.py:hawkes","core parquet/DB lake_area plus decay and Hawkes QC config","core results: pwm_hawkes_results; pwm_hawkes_transition_monthly; pwm_hawkes_run_status","Single official entry; remove script-side min_events legacy"
lake_adft core quality run,cli-command,core,keep,"packages/lakeanalysis/scripts/run_quality.py; cli/quality.py:run","core lake_area; atlas_area; frozen months; quality filter config","core results: area_quality; area_anomalies","CLI becomes sole maintained entry"
lake_adft core shift compute,cli-command,core,create,"packages/lakeanalysis/scripts/compute_shift_labels.py; cli/shift.py:compute","core lake_area plus shift config","core results: area_shift_labels parquet/table only","Compute is separated from sync"
lake_adft sync,cli-group,core,keep,"cli/sync.py:status; cli/sync.py:push; cli/sync.py:pull","parquet and PostgreSQL data","synced core tables between parquet and postgres","Sync group already correct with status/push/pull subcommands - no shift entry needed"
lake_adft experiment artificial,cli-command,experiment,create,"packages/lakeanalysis/scripts/run_pfaf.py; packages/lakeanalysis/scripts/run_nearest.py; packages/lakeanalysis/scripts/run_similarity.py; packages/lakeanalysis/scripts/run_impact.py; cli/spatial.py:pfaf; cli/spatial.py:nearest; cli/spatial.py:similarity; cli/spatial.py:impact","artificial workflow config covering pfaf nearest similarity impact and optional plotting","full artificial experiment bundle: lake_pfaf; af_nearest; similarity.csv; impact.csv; figures","Single orchestration entry: pfaf then nearest then similarity and impact"
lake_adft experiment entropy,cli-command,experiment,create,"packages/lakeanalysis/scripts/run_entropy.py; cli/entropy.py:run; cli/entropy.py:update_amplitude; cli/entropy.py:plot_only","lake_area plus entropy config and optional refresh flags","experiment results under experiments/entropy plus figures","Single orchestration entry for entropy experiment"
lake_adft experiment interpolation run,cli-command,experiment,keep,"packages/lakeanalysis/scripts/run_interpolation_detect.py; cli/quality.py:interpolation","lake_area; frozen months; interpolation config","experiment results under experiments/interpolation","Treat interpolation detect as专题实验"
lake_adft experiment comparison area-vs-atlas,cli-command,comparison,create,"packages/lakeanalysis/scripts/run_area_comparison.py; cli/comparison.py:area","area_quality parquet/backend; thresholds; sample size","comparison benchmark tables and figures under comparison/area_vs_atlas","CLI should absorb full script behavior, not reduced duplicate"
lake_adft experiment benchmark algorithms,cli-command,comparison,create,"sample_test_lakes.py; run_algorithm_comparison.py; comparison_grid_agg.py; plot_comparison_global.py; plot_comparison_zonal.py; cli/comparison.py pieces","benchmark config covering algorithm comparisons and dataset variants including full and gt10","benchmark sample parquet; comparison parquet outputs; cache; global and zonal figures for full and gt10","Single benchmark entry replaces fragmented multi-step workflow and covers algorithm plus dataset benchmarks"
lake_adft visualize quantile-global,cli-command,visualize,keep,"packages/lakeanalysis/scripts/plot_quantile_global.py; cli/plot.py:quantile_global","core quantile results and grid aggregations","standard core global maps under core figures","Official global visualization"
lake_adft visualize pwm-global,cli-command,visualize,keep,"packages/lakeanalysis/scripts/plot_pwm_extreme_global.py; cli/plot.py:pwm_global","core PWM results and grid aggregations","standard core global maps under core figures","Official global visualization"
lake_adft visualize eot-global,cli-command,visualize,keep,"packages/lakeanalysis/scripts/plot_eot_global.py; cli/plot.py:eot_global","core EOT results and grid aggregations","standard core global maps under core figures","Official global visualization"
lake_adft visualize comparison-global,cli-command,visualize,keep,"packages/lakeanalysis/scripts/plot_comparison_global.py; cli/plot.py:comparison_global","comparison benchmark caches and aggregated outputs","comparison global figure set","Rendering backend kept but driven by benchmark outputs"
lake_adft visualize comparison-zonal,cli-command,visualize,keep,"packages/lakeanalysis/scripts/plot_comparison_zonal.py; cli/plot.py:comparison_zonal","comparison benchmark caches and aggregated outputs","comparison zonal figure set","Rendering backend kept but driven by benchmark outputs"
lake_adft visualize extremes-scatter,cli-command,visualize,keep,"packages/lakeanalysis/scripts/plot_extremes_scatter.py; cli/plot.py:extremes_scatter","core quantile results and lake_info","core scatter figure under core figures","Official global visualization"
lake_adft visualize quality,cli-command,visualize,create,"packages/lakeanalysis/scripts/plot_anomaly_upset.py; packages/lakeanalysis/scripts/run_area_comparison.py; quality-related plotting helpers; cli/plot.py:upset; cli/comparison.py:area","quality-layer tables and comparison artifacts including area_quality area_anomalies and area-vs-atlas metrics","quality overview figures and QC tables including upset area comparison and related quality diagnostics","Quality visualization should subsume upset and broader data-quality analysis"
lake_adft visualize area-histogram,cli-command,visualize,keep,"packages/lakeanalysis/scripts/plot_area_histogram.py; cli/plot.py:area_histogram","lake_info and area_quality area distributions","core histogram figures","Official global visualization"
lake_adft visualize qr,cli-command,visualize,create,"packages/lakeanalysis/scripts/run_hawkes_qc.py; cli/hawkes.py:qc; future result-QC visualizers for other result families","result tables across algorithms and experiments plus optional coverage queries","result-quality tables and QC figures across all result families","General result-quality review visualize group; Hawkes QC becomes one member"
lake_adft experiment hawkes-mining,cli-command,experiment,keep,"packages/lakeanalysis/scripts/run_hawkes_mining.py; cli/hawkes.py:mining","hawkes batch summary plus lake_area and mining thresholds","experiment mining tables JSON and figures","Keep CLI only; script archived"
packages/lakeanalysis/scripts/_archived/*.py,file-set,archived,keep,"all non-business wrappers, temporary scripts, duplicated script implementations, debug plots, maintenance one-offs","n/a","n/a","Everything archived here is not tested and not called from active CLI"
